iter	Passed	Remaining
398	97151	146335
399	97339	146009
400	97488	145625
401	97652	145264
402	97827	144921
403	98010	144590
404	98272	144376
405	98528	144151
406	98721	143837
407	98894	143493
408	99092	143186
409	99328	142935
410	99560	142679
411	99807	142443
412	100022	142162
413	100212	141847
414	100424	141562
415	100597	141223
416	100748	140854
417	100937	140539
418	101085	140168
419	101248	139819
420	101418	139480
421	101627	139196
422	101840	138916
423	101995	138560
424	102151	138204
425	102340	137895
426	102569	137640
427	102772	137350
428	102968	137051
429	103229	136839
430	103447	136569
431	103720	136373
432	103887	136037
433	104078	135733
434	104240	135392
435	104506	135186
436	104700	134888
437	104855	134540
438	105039	134230
439	105222	133919
440	105476	133699
441	105685	133422
442	105904	133157
443	106160	132939
444	106349	132637
445	106556	132359
446	106770	132089
447	106995	131833
448	107183	131532
449	107384	131247
450	107592	130971
451	107795	130690
452	107980	130386
453	108177	130099
454	108418	129863
455	108627	129590
456	108784	129256
457	108966	128951
458	109262	128782
459	109411	128439
460	109611	128157
461	109788	127848
462	110011	127594
463	110189	127287
464	110372	126987
465	110552	126684
466	110735	126385
467	110918	126086
468	111050	125730
469	111223	125422
470	111446	125169
471	111644	124890
472	111866	124637
473	112121	124422
474	112309	124131
475	112523	123870
476	112691	123558
477	112880	123271
478	113093	123010
479	113262	122701
480	113434	122395
481	113616	122102
482	113796	121806
483	113989	121525
484	114141	121201
485	114344	120932
486	114544	120659
487	114722	120364
488	114947	120118
489	115166	119867
490	115408	119639
491	115634	119394
492	115803	119091
493	116061	118880
494	116238	118586
495	116438	118316
496	116593	118001
497	116802	117740
498	116979	117448
499	117157	117157
500	117327	116858
501	117535	116598
502	117719	116315
503	117907	116035
504	118101	115762
505	118310	115504
506	118508	115235
507	118672	114934
508	118903	114699
509	119082	114412
510	119237	114104
511	119473	113873
512	119683	113617
513	119886	113355
514	120054	113060
515	120250	112793
516	120478	112554
517	120690	112302
518	120865	112016
519	121030	111720
520	121239	111466
521	121408	111174
522	121615	110918
523	121810	110652
524	122058	110433
525	122227	110144
526	122459	109911
527	122704	109690
528	122854	109384
529	123011	109085
530	123220	108833
531	123455	108604
532	123646	108335
533	123811	108045
534	124013	107787
535	124201	107517
536	124390	107249
537	124621	107017
538	124828	106764
539	125028	106505
540	125226	106245
541	125388	105955
542	125602	105709
543	125773	105427
544	125949	105150
545	126120	104869
546	126304	104599
547	126524	104359
548	126689	104074
549	126838	103777
550	127023	103509
551	127210	103243
552	127412	102989
553	127623	102744
554	127912	102560
555	128150	102336
556	128328	102064
557	128556	101831
558	128740	101564
559	128929	101301
560	129077	101006
561	129296	100768
562	129466	100491
563	129638	100216
564	129824	99953
565	129976	99663
566	130157	99397
567	130338	99130
568	130544	98883
569	130666	98572
570	130863	98319
571	131081	98082
572	131290	97838
573	131514	97605
574	131693	97338
575	131880	97078
576	132089	96835
577	132295	96589
578	132528	96363
579	132741	96122
580	132966	95891
581	133213	95675
582	133391	95410
583	133588	95158
584	133797	94916
585	134005	94672
586	134173	94401
587	134393	94167
588	134532	93875
589	134729	93625
590	134932	93379
591	135182	93166
592	135408	92936
593	135588	92675
594	135754	92404
595	135959	92160
596	136172	91922
597	136368	91672
598	136547	91411
599	136687	91124
600	136913	90896
601	137134	90663
602	137308	90400
603	137490	90142
604	137692	89898
605	137899	89657
606	138097	89410
607	138267	89146
608	138433	88879
609	138619	88625
610	138827	88386
611	139035	88146
612	139252	87912
613	139459	87673
614	139647	87421
615	139890	87204
616	140090	86960
617	140266	86701
618	140440	86442
619	140646	86202
620	140845	85959
621	141043	85714
622	141243	85471
623	141420	85214
624	141596	84957
625	141796	84715
626	142091	84529
627	142305	84295
628	142515	84059
629	142705	83810
630	142925	83580
631	143115	83333
632	143288	83075
633	143526	82855
634	143737	82621
635	143945	82383
636	144154	82147
637	144427	81947
638	144669	81730
639	144956	81537
640	145148	81291
641	145354	81054
642	145588	80832
643	145778	80585
644	145976	80343
645	146151	80089
646	146330	79837
647	146517	79589
648	146717	79349
649	146922	79112
650	147184	78905
651	147358	78651
652	147534	78398
653	147804	78196
654	148037	77973
655	148273	77753
656	148476	77515
657	148682	77278
658	148888	77042
659	149160	76840
660	149388	76615
661	149617	76390
662	149780	76132
663	149996	75902
664	150193	75661
665	150389	75420
666	150557	75165
667	150806	74951
668	150980	74700
669	151147	74445
670	151296	74182
671	151465	73929
672	151600	73660
673	151736	73391
674	151912	73143
675	152056	72879
676	152206	72618
677	152402	72380
678	152570	72128
679	152796	71904
680	152973	71657
681	153152	71411
682	153315	71157
683	153440	70887
684	153614	70640
685	153807	70401
686	153998	70162
687	154173	69915
688	154327	69660
689	154535	69429
690	154717	69186
691	154890	68939
692	155096	68707
693	155259	68457
694	155411	68201
695	155589	67958
696	155735	67701
697	155913	67458
698	156099	67218
699	156276	66975
700	156458	66734
701	156639	66493
702	156853	66266
703	157100	66053
704	157301	65821
705	157495	65585
706	157721	65364
707	158008	65167
708	158204	64933
709	158400	64698
710	158557	64448
711	158756	64216
712	158951	63981
713	159132	63742
714	159309	63501
715	159493	63262
716	159681	63026
717	159819	62770
718	159954	62513
719	160128	62272
720	160292	62027
721	160506	61801
722	160689	61564
723	160858	61321
724	161042	61085
725	161256	60859
726	161536	60659
727	161736	60429
728	161963	60208
729	162164	59978
730	162384	59755
731	162574	59521
732	162773	59291
733	163052	59089
734	163271	58866
735	163506	58649
736	163803	58453
737	164079	58250
738	164324	58036
739	164489	57793
740	164703	57568
741	164885	57332
742	165024	57081
743	165209	56846
744	165424	56621
745	165683	56412
746	165878	56180
747	166050	55942
748	166230	55706
749	166408	55469
750	166642	55251
751	166885	55036
752	167084	54807
753	167309	54586
754	167534	54365
755	167767	54147
756	168001	53929
757	168209	53702
758	168446	53485
759	168683	53268
760	168884	53040
761	169078	52809
762	169282	52581
763	169505	52360
764	169724	52137
765	169955	51918
766	170135	51684
767	170360	51463
768	170620	51252
769	170837	51029
770	171042	50802
771	171322	50597
772	171524	50369
773	171721	50140
774	171942	49918
775	172150	49692
776	172381	49473
777	172664	49269
778	172866	49041
779	173108	48825
780	173366	48613
